row_id,month,day_of_year,streamflow_today_cumecs,streamflow_anomaly_zscore,flow_rate_of_change,flow_velocity_km_per_day,antecedent_rain_3d_sum,antecedent_rain_7d_sum,antecedent_rain_15d_sum,antecedent_rain_30d_sum,antecedent_rain_60d,antecedent_rain_ewm,rainfall_anomaly_zscore,upstream_rain_mean_scaled,upstream_rain_weighted_scaled,upstream_rain_lagged_dist_sink,soil_saturation_score,antecedent_saturation_interaction,is_post_monsoon_saturated,monsoon_intensity,monsoon_cumulative_rain,dist_to_outlet_scaled,upstream_area_scaled,slope_scaled,slope_uav_scaled,forest_cover_scaled,urban_cover_scaled,rain_soilmoisture_interaction,rain_urban_interaction,rain_slope_interaction,rain_basinsize_interaction,uparea_rain_interaction
2571055,4,68,361.62927,1.302935986,-6.16574,0.362828224,0,0.005497769,0.00735063,0.009085866,0.024790778,0.003099164,-0.262403714,-0.46038262,-0.459062172,-0.231411745,0.024790778,0.00019288,0,0,0.31639498,1.166505758,0.272812912,-0.058240514,-0.376572531,-0.347206809,2.146956311,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571056,4,68,594.98505,0.677368783,-7.12635,-0.607050483,0,0.00341716,0.025089871,0.029373287,0.023488736,0.004048157,-0.204123994,-0.46038262,-0.459062172,-0.231411745,0.023488736,0.000113589,0,0,0.587367773,-0.316646351,0.259526964,-0.437670307,1.966308407,-0.207944157,-1.043050713,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571057,4,68,271.86343,0.598067914,-5.88183,-1.649524152,0,0.002969224,0.01276622,0.016561412,0.012252439,0.002537821,-0.263913034,-0.46038262,-0.459062172,-0.231411745,0.012252439,5.15E-05,0,0,0.401655654,0.599270037,-0.326775245,-0.564146904,-0.402604541,-0.207944157,1.165415688,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571058,4,68,1023.4346,0.11259133,-2.0536,0.613233771,0,0.001279888,0.012262675,0.016100067,0.021629071,0.00216638,-0.273486757,-0.46038262,-0.459062172,-0.231411745,0.021629071,3.92E-05,0,0,0.311531786,0.36952138,1.372296328,0.068236084,-0.819116708,0.209843798,0.429260221,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571059,4,68,2047.3036,-0.268099689,-2.473,1.049545364,0,0.000996374,0.002283173,0.01209048,0.014814712,0.000644914,-0.291834108,-0.46038262,-0.459062172,-0.231411745,0.014814712,2.09E-05,0,0,0.499306722,-1.13126065,1.780599996,0.321189279,-0.701972661,-0.347206809,0.183875065,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571060,4,68,160.92564,0.296968736,-2.20535,0.206958844,0,0.003974087,0.006916026,0.013950125,0.021312668,0.002096809,-0.207800027,-0.46038262,-0.459062172,-0.231411745,0.021312668,0.000119863,0,0,0.470006685,-0.777822704,-0.663351103,-0.184717112,-1.053404802,-0.347206809,-0.06151009,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571061,4,68,460.70483,1.213421226,-4.05053,0.840194491,0,0.0034952,0.025689407,0.019559897,0.014938512,0.003964428,-0.204124066,-0.46038262,-0.459062172,-0.231411745,0.014938512,7.39E-05,0,0,0.321667727,0.899538379,0.572909334,0.194712681,-0.545780599,-0.347206809,1.410800844,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571062,4,68,778.2781,0.641596538,-1.07125,-0.146665847,0,0.002906815,0.011838432,0.025920125,0.026385964,0.002299675,-0.26030916,-0.46038262,-0.459062172,-0.231411745,0.026385964,0.000108543,0,0,0.304741092,-0.115721216,0.665588293,-0.311193709,0.00089162,-0.347206809,0.429260221,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571063,4,68,276.6664,0.578339611,-5.226,-1.649524152,0,0.00060575,0.028897266,0.036419904,0.032733689,0.004440429,-0.204124084,-0.46038262,-0.459062172,-0.231411745,0.032733689,2.81E-05,0,0,0.354635127,0.391069061,-0.308719211,-0.564146904,-0.415620546,-0.347206809,1.165415688,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571064,4,68,161.50711,-0.23396327,0.41643,1.628370465,0,0.000369505,0.000301812,0.007247434,0.005097282,0.000142761,-0.209346993,-0.46038262,-0.459062172,-0.231411745,0.005097282,2.67E-06,0,0,0.512586533,1.19448976,-0.636395512,0.574142474,-0.94927676,0.209843798,-0.552280402,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571065,4,68,803.2165,0.6565516,-1.511,0.206958844,0,0,0.00099716,0.00647457,0.014147879,0.000197325,-0.204122727,-0.46038262,-0.459062172,-0.231411745,0.014147879,0,0,0,0.354833876,-0.248645226,0.679198029,-0.184717112,-0.02514039,-0.347206809,0.429260221,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571066,4,68,778.0435,0.638771411,-1.1142,-0.146665847,0,0.002906815,0.011838432,0.025920125,0.026385964,0.002299675,-0.26030916,-0.46038262,-0.459062172,-0.231411745,0.026385964,0.000108543,0,0,0.304741092,-0.145943938,0.666718227,-0.311193709,0.00089162,-0.347206809,0.429260221,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571067,4,68,680.6772,1.024160959,-26.13344,-0.146665847,0,0.007065327,0.020936078,0.055867652,0.063010341,0.00479121,-0.242890807,-0.46038262,-0.459062172,-0.231411745,0.063010341,0.00063002,0,0,0.424943324,1.436271538,-0.235231708,-0.311193709,1.797100339,-0.347206809,-0.797665557,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571068,4,68,1067.6313,0.685492791,-20.0751,-0.607050483,0,0.001891762,0.008589499,0.013245286,0.01948544,0.00152987,-0.204124052,-0.46038262,-0.459062172,-0.231411745,0.01948544,5.22E-05,0,0,0.502763082,-1.163442253,0.654386345,-0.437670307,1.367572167,-0.347206809,-0.552280402,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571069,4,68,73.28347,0.303758676,-0.78529,-0.51997479,0,0.00125371,0.013123948,0.015353469,0.012014,0.002246137,-0.247835647,-0.46038262,-0.459062172,-0.231411745,0.012014,2.13E-05,0,0,0.384571897,0.588356276,-1.692836171,-0.437670307,-0.832132713,-0.347206809,-0.306895246,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
2571070,4,68,634.53973,0.780357881,-11.45763,-0.607050483,0,0.016099836,0.019538693,0.018433327,0.021227258,0.00574232,-0.261698271,-0.46038262,-0.459062172,-0.231411745,0.021227258,0.000483644,0,0,0.382936327,1.04645439,-0.167989947,-0.437670307,1.562812246,-0.347206809,-0.797665557,-0.518024818,-0.514178701,-0.514108194,-0.519492773,-0.472261778
